#;Release;Date exact;Card;Set code;Number;Edition;Variant;Variant name;Set / expansion;Rarity;Artist;Known finishes;Finish evidence;Langs;EN;FR;DE;IT;ES;PT;NL;PL;RU;JA;KO;ZH-T;ZH-S;ID;TH;Cardmarket URL
116;~2023;approx;Snorlax;CS1DC;152;—;base;;Dynamax Clash V Starter Deck;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Dynamax-Clash-V-Starter-Deck/Snorlax-CS1DC152
117;~2023;approx;Snorlax;SVP;051;—;V1;;SV Black Star Promos;Promo;GOSSAN;holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/SV-Black-Star-Promos/Snorlax-V1-SVP051
118;~2023;approx;Snorlax;SVP;051;—;V2;;SV Black Star Promos;Promo;GOSSAN;holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/SV-Black-Star-Promos/Snorlax-V2-SVP051
119;~2023;approx;Snorlax;S-P/CS;061;—;base;;Sword & Shield Simplified Chinese Promos;Promo;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Sword-Shield-Simplified-Chinese-Promos/Snorlax-S-PCS061
120;2023-01-20;yes;Snorlax;CRZ;109;—;base;;Crown Zenith;Rare;Asako Ito;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Crown-Zenith/Snorlax-CRZ109
121;2023-05-19;yes;Snorlax;CS1aC;110;—;base;;Dynamax Clash - Thunder;Uncommon;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Dynamax-Clash-Thunder/Snorlax-CS1aC110
122;2023-05-19;yes;Snorlax V;CS1aC;111;—;V1;;Dynamax Clash - Thunder;Double Rare;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Dynamax-Clash-Thunder/Snorlax-V-V1-CS1aC111
123;2023-05-19;yes;Snorlax VMAX;CS1aC;112;—;V1;;Dynamax Clash - Thunder;Triple Rare;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Dynamax-Clash-Thunder/Snorlax-VMAX-V1-CS1aC112
124;2023-05-19;yes;Snorlax V;CS1aC;188;—;V2;;Dynamax Clash - Thunder;Ultra Rare;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Dynamax-Clash-Thunder/Snorlax-V-V2-CS1aC188
125;2023-05-19;yes;Snorlax VMAX;CS1aC;207;—;V2;;Dynamax Clash - Thunder;Rainbow Rare;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Dynamax-Clash-Thunder/Snorlax-VMAX-V2-CS1aC207
126;~2023;approx;Snorlax;PPS3 LOR;LOR 143;—;base;;Play! Pokémon Prize Pack Series Three;Prize Pack Series;0313;non-holo;confirmed, pending;5;X;X;X;X;X;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Three/Snorlax-PPS3LOR-143
127;2023-06-16;yes;Snorlax;sv2a;143;—;V1;;Pokémon Card 151;Uncommon;;non-holo;confirmed, marketplace-claimed;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-Card-151/Snorlax-V1-sv2a143
128;2023-06-16;yes;Snorlax;sv2a;181;—;V2;;Pokémon Card 151;Illustration Rare;;non-holo;confirmed, pending;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-Card-151/Snorlax-V2-sv2a181
129;2023-06-16;yes;Snorlax;xsv2a;143;—;V1;Poké Ball mirror holo;Pokémon Card 151: Additionals;Uncommon;;non-holo, mirror-holo;confirmed;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-Card-151-Additionals/Snorlax-V1-xsv2a143
130;2023-06-16;yes;Snorlax;xsv2a;143;—;V2;Master Ball mirror holo;Pokémon Card 151: Additionals;Uncommon;;non-holo, mirror-holo;confirmed;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-Card-151-Additionals/Snorlax-V2-xsv2a143
131;2023-09-22;yes;Snorlax;MEW;143;—;base;;151;Uncommon;HYOGONOSUKE;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/151/Snorlax-MEW143
132;2023-10-27;yes;Snorlax Doll;sv4K;059;—;base;;Ancient Roar;Uncommon;;non-holo;confirmed;4;;;;;;;;;;X;X;X;;;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Ancient-Roar/Snorlax-Doll-sv4K059
133;~2023;approx;Snorlax;CLF;016;—;base;;Pokémon Card Game Classic: Venusaur & Lugia ex Deck;Fixed;;;pending;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-Card-Game-Classic-Venusaur-Lugia-ex-Deck/Snorlax-CLF016
134;~2023;approx;Snorlax;WCD23 LOR;LOR 143;—;base;;WCD 2023;World Championship Deck;0313;non-holo;marketplace-claimed, pending;4;X;X;X;X;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/WCD-2023/Snorlax-WCD23LOR-143
135;2023-11-03;yes;Snorlax Doll;PAR;175;—;base;;Paradox Rift;Uncommon;AYUMI ODASHIMA;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Paradox-Rift/Snorlax-Doll-PAR175
136;2023-11-10;yes;Snorlax;svG;021;—;base;;Venusaur & Charizard & Blastoise Special Deck Set ex;Fixed;0313;;pending;2;;;;;;;;;;X;X;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Venusaur-Charizard-Blastoise-Special-Deck-Set-ex/Snorlax-svG021
137;2023-11-17;yes;Snorlax;CLV;016;—;base;;Pokémon Trading Card Game Classic: Venusaur & Lugia ex Deck;Fixed;;holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-Trading-Card-Game-Classic-Venusaur-Lugia-ex-Deck/Snorlax-CLV016
138;2023-12-01;yes;Snorlax;sv4a;145;—;V1;;Shiny Treasure ex;Fixed;HYOGONOSUKE;reverse-holo;marketplace-claimed;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Shiny-Treasure-ex/Snorlax-V1-sv4a145
139;2023-12-01;yes;Snorlax;sv4a;310;—;V2;;Shiny Treasure ex;Shiny Rare;;non-holo;confirmed, pending;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Shiny-Treasure-ex/Snorlax-V2-sv4a310
140;~2024;approx;Snorlax Doll;CSV5C;115;—;base;;Dark Crystal Blaze;Uncommon;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Dark-Crystal-Blaze/Snorlax-Doll-CSV5C115
141;~2024;approx;Snorlax;CS3DC;117;—;base;;Primordial Arts V Starter Deck;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Primordial-Arts-V-Starter-Deck/Snorlax-CS3DC117
142;~2024;approx;Snorlax;SVP;122;—;base;;SV Black Star Promos;Promo;Po-Suzuki;holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/SV-Black-Star-Promos/Snorlax-SVP122
143;~2024;approx;Snorlax;SV-P/TH;082;—;base;;Scarlet & Violet Thai Promos;Promo;;;pending;1;;;;;;;;;;;;;;;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet-Thai-Promos/Snorlax-SV-PTH082
144;~2024;approx;Snorlax;svLN;010;—;base;;Stellar Tera Type Starter Set Sylveon ex;Fixed;;non-holo;confirmed, pending;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Tera-Type-Starter-Set-Sylveon-ex/Snorlax-svLN010
145;~2024;approx;Snorlax;CS2aC;086;—;V1;;Vivid Portrayals - Obsidian;Rare;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Vivid-Portrayals-Obsidian/Snorlax-V1-CS2aC086
146;~2024;approx;Snorlax;CS2aC;142;—;V2;;Vivid Portrayals - Obsidian;Secret Rare;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Vivid-Portrayals-Obsidian/Snorlax-V2-CS2aC142
147;2024-01-26;yes;Snorlax;PAF;202;—;base;;Paldean Fates;Shiny Rare;Shigenori Negishi;holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldean-Fates/Snorlax-PAF202
148;2024-03-08;yes;Snorlax;svIba;046;—;base;;Scarlet & Violet Battle Academy;Fixed;;;pending;3;;;;;;;;;;X;X;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet-Battle-Academy/Snorlax-svIba046
149;2024-03-22;yes;Snorlax;sv5a;051;—;base;;Crimson Haze;Uncommon;;non-holo;confirmed, marketplace-claimed;4;;;;;;;;;;X;X;X;;;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Crimson-Haze/Snorlax-sv5a051
150;2024-05-24;yes;Snorlax;TWM;136;—;base;;Twilight Masquerade;Uncommon;Souichirou Gunjima;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Twilight-Masquerade/Snorlax-TWM136
151;2024-06-28;yes;Snorlax;SV-P/ID;117;—;V1;;Scarlet & Violet Indonesian Promos;Promo;;;pending;1;;;;;;;;;;;;;;X;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet-Indonesian-Promos/Snorlax-V1-SV-PID117
152;2024-06-28;yes;Snorlax;SV-P/ID;117;—;V2;;Scarlet & Violet Indonesian Promos;Promo;;;pending;1;;;;;;;;;;;;;;X;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet-Indonesian-Promos/Snorlax-V2-SV-PID117
153;2024-11-08;yes;Snorlax;SSP;144;—;base;;Surging Sparks;Common;Ounishi;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Snorlax-SSP144
154;2024-11-22;yes;Snorlax ex;svM;094;—;base;;Generations Start Decks;Fixed;N-DESIGN Inc.;;pending;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Generations-Start-Decks/Snorlax-ex-svM094
